Time,AccelerationX,AccelerationY,AccelerationZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,BlockageMask,MotionCommand
3.6,0.84,0.39,0.01,0.03,0.10,0.41,0x00000F00,0
3.7,0.86,0.40,0.00,0.03,0.10,0.42,0x00000F00,0
3.8,0.88,0.41,0.01,0.03,0.11,0.43,0x00000F00,0
3.9,0.90,0.42,0.02,0.03,0.11,0.44,0x00000F00,0
5.0,0.30,0.10,0.01,0.04,0.05,0.18,0x00000F80,1
5.1,0.32,0.11,0.00,0.04,0.05,0.19,0x00000F80,1
5.2,0.34,0.12,0.01,0.04,0.05,0.20,0x00000F80,1
5.3,0.36,0.13,0.02,0.04,0.05,0.21,0x00000F80,1
5.4,0.38,0.14,0.01,0.04,0.05,0.22,0x00000F80,1
5.5,0.40,0.15,0.00,0.04,0.05,0.23,0x00000F80,1
5.6,0.42,0.16,0.01,0.04,0.05,0.24,0x00000F80,1
5.7,0.44,0.17,0.02,0.04,0.05,0.25,0x00000F80,1
5.8,0.46,0.18,0.01,0.04,0.05,0.26,0x00000F80,1
5.9,0.48,0.19,0.00,0.04,0.05,0.27,0x00000F80,1
6.0,0.50,0.20,0.01,0.04,0.05,0.28,0x00001F80,1
6.1,0.52,0.21,0.02,0.04,0.05,0.29,0x00001F80,1
6.2,0.54,0.22,0.01,0.04,0.05,0.30,0x00001F80,1
6.3,0.56,0.23,0.00,0.04,0.05,0.31,0x00001F80,1
6.4,0.58,0.24,0.01,0.04,0.05,0.32,0x00001F80,1
6.5,0.60,0.25,0.02,0.04,0.05,0.33,0x00001F80,1
6.6,0.62,0.26,0.01,0.04,0.05,0.34,0x00001F80,1
6.7,0.64,0.27,0.00,0.04,0.05,0.35,0x00001F80,1
6.8,0.66,0.28,0.01,0.04,0.05,0.36,0x00001F80,1
6.9,0.68,0.29,0.02,0.04,0.05,0.37,0x00001F80,1
10.0,0.42,0.28,0.00,0.07,0.07,0.30,0x00000FC0,2
10.1,0.44,0.29,0.01,0.07,0.07,0.31,0x00000FC0,2
10.2,0.46,0.30,0.02,0.07,0.07,0.32,0x00000FC0,2
10.3,0.48,0.31,0.01,0.07,0.07,0.33,0x00000FC0,2
10.4,0.50,0.32,0.00,0.07,0.07,0.34,0x00000FC0,2
10.5,0.52,0.33,0.01,0.07,0.07,0.35,0x00000FC0,2
10.6,0.54,0.34,0.02,0.07,0.07,0.36,0x00000FC0,2
10.7,0.56,0.35,0.01,0.07,0.07,0.37,0x00000FC0,2
10.8,0.58,0.36,0.00,0.07,0.07,0.38,0x00000FC0,2
10.9,0.60,0.37,0.01,0.07,0.07,0.39,0x00000FC0,2
15.0,0.10,0.02,0.00,0.01,0.01,0.02,0x0000000F,3
15.1,0.09,0.01,0.00,0.01,0.01,0.02,0x0000000F,3
15.2,0.08,0.01,0.00,0.01,0.01,0.02,0x0000000F,3
15.3,0.07,0.01,0.00,0.01,0.01,0.02,0x0000000F,3
15.4,0.06,0.01,0.00,0.01,0.01,0.02,0x0000000F,3
15.5,0.05,0.01,0.00,0.01,0.01,0.02,0x0000000F,3
15.6,0.04,0.01,0.00,0.01,0.01,0.02,0x0000000F,3
15.7,0.03,0.01,0.00,0.01,0.01,0.02,0x0000000F,3
15.8,0.02,0.01,0.00,0.01,0.01,0.02,0x0000000F,3
15.9,0.01,0.01,0.00,0.01,0.01,0.02,0x0000000F,3
20.0,0.20,0.05,0.01,0.02,0.03,0.05,0x00000000,0
20.1,0.22,0.06,0.00,0.02,0.03,0.06,0x00000000,0
20.2,0.24,0.07,0.01,0.02,0.03,0.07,0x00000000,0
20.3,0.26,0.08,0.02,0.02,0.03,0.08,0x00000000,0
20.4,0.28,0.09,0.01,0.02,0.03,0.09,0x00000000,0
20.5,0.30,0.10,0.00,0.02,0.03,0.10,0x00000000,0
20.6,0.32,0.11,0.01,0.02,0.03,0.11,0x00000000,0
20.7,0.34,0.12,0.02,0.02,0.03,0.12,0x00000000,0
20.8,0.36,0.13,0.01,0.02,0.03,0.13,0x00000000,0
20.9,0.38,0.14,0.00,0.02,0.03,0.14,0x00000000,0
25.0,0.30,0.10,0.01,0.03,0.04,0.15,0x00000F00,1
25.1,0.32,0.11,0.00,0.03,0.04,0.16,0x00000F00,1
25.2,0.34,0.12,0.01,0.03,0.04,0.17,0x00000F00,1
25.3,0.36,0.13,0.02,0.03,0.04,0.18,0x00000F00,1
25.4,0.38,0.14,0.01,0.03,0.04,0.19,0x00000F00,1
25.5,0.40,0.15,0.00,0.03,0.04,0.20,0x00000F00,1
25.6,0.42,0.16,0.01,0.03,0.04,0.21,0x00000F00,2
25.7,0.44,0.17,0.02,0.03,0.04,0.22,0x00000F00,2
25.8,0.46,0.18,0.01,0.03,0.04,0.23,0x00000F00,2
